# Programmer QWERTY Layout - Raw Data
# Format: Row | Position | Base | Shift | Key Name
# This can be used with keyboard-layout-editor.com or other layout generators

# Function Row
ESC|FK01|Escape|Escape|Escape
F1|FK02|F1|F1|F1
F2|FK03|F2|F2|F2
F3|FK04|F3|F3|F3
F4|FK05|F4|F4|F4
F5|FK06|F5|F5|F5
F6|FK07|F6|F6|F6
F7|FK08|F7|F7|F7
F8|FK09|F8|F8|F8
F9|FK10|F9|F9|F9
F10|FK11|F10|F10|F10
F11|FK12|F11|F11|F11
F12|FK13|F12|F12|F12

# Number Row (ThePrimeagen-style symbols on base)
TLDE|AE00|grave|asciitilde|Backtick
AE01|AE01|plus|1|Number 1
AE02|AE02|bracketleft|2|Number 2
AE03|AE03|braceleft|3|Number 3
AE04|AE04|parenleft|4|Number 4
AE05|AE05|ampersand|5|Number 5
AE06|AE06|equal|6|Number 6
AE07|AE07|parenright|7|Number 7
AE08|AE08|braceright|8|Number 8
AE09|AE09|bracketright|9|Number 9
AE10|AE10|asterisk|0|Number 0
AE11|AE11|exclam|percent|Exclamation
AE12|AE12|minus|underscore|Minus

# QWERTY Row
AD01|AD01|q|Q|Q
AD02|AD02|w|W|W
AD03|AD03|e|E|E
AD04|AD04|r|R|R
AD05|AD05|t|T|T
AD06|AD06|y|Y|Y
AD07|AD07|u|U|U
AD08|AD08|i|I|I
AD09|AD09|o|O|O
AD10|AD10|p|P|P
AD11|AD11|comma|at|Comma
AD12|AD12|period|numbersign|Period

# ASDF Row
AC01|AC01|a|A|A
AC02|AC02|s|S|S
AC03|AC03|d|D|D
AC04|AC04|f|F|F
AC05|AC05|g|G|G
AC06|AC06|h|H|H
AC07|AC07|j|J|J
AC08|AC08|k|K|K
AC09|AC09|l|L|L
AC10|AC10|semicolon|colon|Semicolon
AC11|AC11|apostrophe|quotedbl|Apostrophe

# ZXCV Row
AB01|AB01|z|Z|Z
AB02|AB02|x|X|X
AB03|AB03|c|C|C
AB04|AB04|v|V|V
AB05|AB05|b|B|B
AB06|AB06|n|N|N
AB07|AB07|m|M|M
AB08|AB08|less|dollar|Less than
AB09|AB09|greater|asciicircum|Greater than
AB10|AB10|slash|question|Slash

# Modifiers
LFSH|LFSH|Shift_L|Shift_L|Left Shift
RTSH|RTSH|Shift_R|Shift_R|Right Shift
LCTL|LCTL|Control_L|Control_L|Left Ctrl
RCTL|RCTL|Control_R|Control_R|Right Ctrl
LALT|LALT|Alt_L|Alt_L|Left Alt
RALT|RALT|Alt_R|Alt_R|Right Alt
LWIN|LWIN|Super_L|Super_L|Left Super
RWIN|RWIN|Super_R|Super_R|Right Super
SPCE|SPCE|space|space|Space
BKSP|BKSP|BackSpace|BackSpace|Backspace
TAB|TAB|Tab|ISO_Left_Tab|Tab
RTRN|RTRN|Return|Return|Enter
CAPS|CAPS|Caps_Lock|Caps_Lock|Caps Lock
MENU|MENU|Menu|Menu|Menu
