2025-12-07T19:54:40.635Z INFO  config: Created default global config | path=/home/ghost/.config/opencode/dcp.jsonc
2025-12-07T19:54:40.636Z DEBUG config: No project config found | searchedFrom=/home/ghost/.dotfiles/opencode/.config/opencode
2025-12-07T20:26:00.705Z INFO  config: Loaded global config | path=/home/ghost/.config/opencode/dcp.jsonc
2025-12-07T20:26:00.705Z DEBUG config: No project config found | searchedFrom=/home/ghost/.dotfiles/nvim/.config/nvim
2025-12-07T20:48:33.469Z INFO  config: Loaded global config | path=/home/ghost/.config/opencode/dcp.jsonc
2025-12-07T20:48:33.469Z DEBUG config: No project config found | searchedFrom=/home/ghost/personal/Learning/GTC/C++ 1
2025-12-07T20:48:33.565Z INFO  config: Loaded global config | path=/home/ghost/.config/opencode/dcp.jsonc
2025-12-07T20:48:33.565Z DEBUG config: No project config found | searchedFrom=/home/ghost/personal/Learning/GTC/C++ 1
2025-12-07T20:48:33.883Z INFO  config: Loaded global config | path=/home/ghost/.config/opencode/dcp.jsonc
2025-12-07T20:48:33.883Z DEBUG config: No project config found | searchedFrom=/home/ghost/personal/Learning/GTC/C++ 1
2025-12-07T20:48:34.118Z INFO  config: Loaded global config | path=/home/ghost/.config/opencode/dcp.jsonc
2025-12-07T20:48:34.118Z DEBUG config: No project config found | searchedFrom=/home/ghost/personal/Learning/GTC/C++ 1
2025-12-07T20:48:34.315Z INFO  config: Loaded global config | path=/home/ghost/.config/opencode/dcp.jsonc
2025-12-07T20:48:34.315Z DEBUG config: No project config found | searchedFrom=/home/ghost/personal/Learning/GTC/C++ 1
2025-12-07T20:48:35.442Z INFO  config: Loaded global config | path=/home/ghost/.config/opencode/dcp.jsonc
2025-12-07T20:48:35.442Z DEBUG config: No project config found | searchedFrom=/home/ghost/personal/Learning/GTC/C++ 1
2025-12-07T20:48:35.451Z INFO  config: Loaded global config | path=/home/ghost/.config/opencode/dcp.jsonc
2025-12-07T20:48:35.451Z DEBUG config: No project config found | searchedFrom=/home/ghost/personal/Learning/GTC/C++ 1
2025-12-07T20:48:36.088Z INFO  config: Loaded global config | path=/home/ghost/.config/opencode/dcp.jsonc
2025-12-07T20:48:36.088Z DEBUG config: No project config found | searchedFrom=/home/ghost/personal/Learning/GTC/C++ 1
2025-12-07T20:48:36.098Z INFO  config: Loaded global config | path=/home/ghost/.config/opencode/dcp.jsonc
2025-12-07T20:48:36.098Z DEBUG config: No project config found | searchedFrom=/home/ghost/personal/Learning/GTC/C++ 1
2025-12-07T20:48:36.170Z INFO  config: Loaded global config | path=/home/ghost/.config/opencode/dcp.jsonc
2025-12-07T20:48:36.170Z DEBUG config: No project config found | searchedFrom=/home/ghost/personal/Learning/GTC/C++ 1
2025-12-07T20:48:36.754Z INFO  config: Loaded global config | path=/home/ghost/.config/opencode/dcp.jsonc
2025-12-07T20:48:36.754Z DEBUG config: No project config found | searchedFrom=/home/ghost/personal/Learning/GTC/C++ 1
2025-12-07T20:48:36.754Z INFO  config: Loaded global config | path=/home/ghost/.config/opencode/dcp.jsonc
2025-12-07T20:48:36.754Z DEBUG config: No project config found | searchedFrom=/home/ghost/personal/Learning/GTC/C++ 1
2025-12-07T20:48:36.843Z INFO  config: Loaded global config | path=/home/ghost/.config/opencode/dcp.jsonc
2025-12-07T20:48:36.843Z DEBUG config: No project config found | searchedFrom=/home/ghost/personal/Learning/GTC/C++ 1
2025-12-07T20:48:37.330Z INFO  config: Loaded global config | path=/home/ghost/.config/opencode/dcp.jsonc
2025-12-07T20:48:37.330Z DEBUG config: No project config found | searchedFrom=/home/ghost/personal/Learning/GTC/C++ 1
2025-12-07T20:48:37.340Z INFO  config: Loaded global config | path=/home/ghost/.config/opencode/dcp.jsonc
2025-12-07T20:48:37.340Z DEBUG config: No project config found | searchedFrom=/home/ghost/personal/Learning/GTC/C++ 1
2025-12-07T20:48:37.423Z INFO  config: Loaded global config | path=/home/ghost/.config/opencode/dcp.jsonc
2025-12-07T20:48:37.423Z DEBUG config: No project config found | searchedFrom=/home/ghost/personal/Learning/GTC/C++ 1
2025-12-07T20:48:37.889Z INFO  config: Loaded global config | path=/home/ghost/.config/opencode/dcp.jsonc
2025-12-07T20:48:37.889Z DEBUG config: No project config found | searchedFrom=/home/ghost/personal/Learning/GTC/C++ 1
2025-12-07T20:48:37.897Z INFO  config: Loaded global config | path=/home/ghost/.config/opencode/dcp.jsonc
2025-12-07T20:48:37.898Z DEBUG config: No project config found | searchedFrom=/home/ghost/personal/Learning/GTC/C++ 1
2025-12-07T20:48:37.984Z INFO  config: Loaded global config | path=/home/ghost/.config/opencode/dcp.jsonc
2025-12-07T20:48:37.984Z DEBUG config: No project config found | searchedFrom=/home/ghost/personal/Learning/GTC/C++ 1
2025-12-07T20:48:38.447Z INFO  config: Loaded global config | path=/home/ghost/.config/opencode/dcp.jsonc
2025-12-07T20:48:38.447Z DEBUG config: No project config found | searchedFrom=/home/ghost/personal/Learning/GTC/C++ 1
2025-12-07T20:48:38.448Z INFO  config: Loaded global config | path=/home/ghost/.config/opencode/dcp.jsonc
2025-12-07T20:48:38.448Z DEBUG config: No project config found | searchedFrom=/home/ghost/personal/Learning/GTC/C++ 1
2025-12-07T20:48:38.542Z INFO  config: Loaded global config | path=/home/ghost/.config/opencode/dcp.jsonc
