ags-hyprpanel-git r566.0c82ce9-1
ark 25.04.2-1
aylurs-gtk-shell-git 2.3.0.r1.g3ed9737-1
baobab 48.0-3
base 3-2
base-devel 1-2
bluez-utils 5.83-1
brightnessctl 0.5.1-3
btop 1.4.3-3
btrfs-progs 6.14-1
catppuccin-gtk-theme-mocha 1.0.3-1
cmake 4.0.3-1
dart-sass 1.86.3-1
decibels 48.0-1
diff-so-fancy 1.4.4-2
discord 1:0.0.97-1
dkms 3.2.1-1
docker 1:28.2.2-1
dolphin 25.04.2-1
duf 0.8.1-3
dunst 1.12.2-1
efibootmgr 18-3
electron 1:36-1
epiphany 48.3-1
evince 48.0-3
eza 0.21.4-1
fastfetch 2.45.0-1
fd 10.2.0-1
firefox 139.0.4-1
firewalld 2.3.1-1
fuse2 2.9.9-5
fzf 0.62.0-1
gdm 48.0-2
ghostty 1.1.3-1
git 2.49.0-2
github-cli 2.74.1-1
gitlab 18.0.2-1
gnome-backgrounds 48.2.1-1
gnome-calculator 48.1-2
gnome-calendar 48.1-1
gnome-characters 48.0-1
gnome-clocks 48.0-1
gnome-color-manager 3.36.2-1
gnome-connections 48.0-6
gnome-console 48.0.1-1
gnome-contacts 48.0-1
gnome-control-center 48.2-1
gnome-disk-utility 46.1-2
gnome-font-viewer 48.0-1
gnome-keyring 1:48.0-1
gnome-logs 45.0-2
gnome-maps 48.4-1
gnome-menus 3.36.0-3
gnome-music 1:48.0-1
gnome-remote-desktop 48.1-1
gnome-session 48.0-1
gnome-settings-daemon 48.1-1
gnome-shell 1:48.2-1
gnome-shell-extensions 48.2-1
gnome-software 48.2-1
gnome-system-monitor 48.1-1
gnome-text-editor 48.3-1
gnome-tour 48.1-1
gnome-tweaks 46.1-2
gnome-user-docs 48.2-1
gnome-user-share 48.0-1
gnome-weather 48.0-2
gparted 1.7.0-1
grilo-plugins 1:0.3.16+r46+gea3afa8c-2
grim 1.4.1-3
grub 2:2.12.r292.g73d1c959-1
grub-btrfs 4.13-2
gst-plugin-pipewire 1:1.4.5-1
gvfs 1.57.2-4
gvfs-afc 1.57.2-4
gvfs-dnssd 1.57.2-4
gvfs-goa 1.57.2-4
gvfs-google 1.57.2-4
gvfs-gphoto2 1.57.2-4
gvfs-mtp 1.57.2-4
gvfs-nfs 1.57.2-4
